filename,width,height,class,xmin,ymin,xmax,ymax
applauding_001.jpg,300,400,person,28,57,258,400
applauding_002.jpg,421,300,person,203,20,421,284
applauding_004.jpg,300,417,person,78,21,246,416
applauding_005.jpg,300,451,person,88,61,227,451
applauding_006.jpg,534,400,person,132,123,433,400
applauding_007.jpg,410,400,person,174,19,395,375
applauding_008.jpg,450,300,person,150,29,325,300
applauding_010.jpg,200,276,person,1,100,118,275
applauding_012.jpg,400,300,person,26,20,250,300
applauding_013.jpg,300,436,person,2,4,300,436
applauding_014.jpg,449,300,person,115,35,242,300
applauding_015.jpg,302,200,person,76,16,240,200
applauding_016.jpg,356,200,person,142,10,337,199
applauding_017.jpg,601,400,person,3,144,206,364
applauding_018.jpg,400,300,person,209,13,365,300
applauding_019.jpg,599,400,person,50,46,536,400
applauding_020.jpg,413,400,person,75,31,275,398
applauding_021.jpg,300,405,person,23,87,286,405
applauding_022.jpg,349,300,person,46,2,320,300
applauding_023.jpg,400,300,person,207,1,400,300
applauding_024.jpg,300,479,person,32,10,243,438
applauding_025.jpg,802,600,person,151,124,411,600
applauding_027.jpg,300,419,person,154,27,298,414
applauding_028.jpg,300,410,person,47,50,289,410
applauding_029.jpg,300,451,person,59,49,223,451
applauding_030.jpg,400,300,person,27,38,178,300
applauding_031.jpg,533,400,person,1,16,406,400
applauding_032.jpg,379,300,person,137,23,372,300
applauding_033.jpg,404,300,person,127,2,331,300
applauding_034.jpg,400,427,person,64,30,301,425
applauding_035.jpg,300,384,person,44,20,271,384
applauding_037.jpg,300,400,person,172,35,291,383
applauding_038.jpg,488,400,person,3,29,486,400
applauding_039.jpg,300,451,person,78,17,228,451
applauding_040.jpg,497,300,person,59,10,284,300
applauding_041.jpg,451,300,person,39,9,314,300
applauding_042.jpg,200,283,person,38,6,180,283
applauding_043.jpg,425,300,person,271,42,425,300
applauding_044.jpg,440,300,person,35,26,246,300
applauding_045.jpg,300,400,person,118,128,188,332
applauding_046.jpg,300,451,person,41,8,251,440
applauding_047.jpg,451,300,person,103,5,333,300
applauding_049.jpg,451,300,person,144,41,305,300
applauding_050.jpg,300,447,person,13,26,300,447
applauding_051.jpg,376,300,person,27,2,357,300
applauding_052.jpg,410,300,person,163,72,357,298
applauding_053.jpg,451,300,person,60,32,319,300
applauding_054.jpg,200,300,person,2,35,200,300
applauding_055.jpg,686,500,person,340,95,671,500
applauding_056.jpg,200,393,person,5,5,181,385
applauding_057.jpg,534,400,person,99,118,360,400
applauding_058.jpg,200,466,person,23,15,163,465
applauding_059.jpg,400,522,person,5,20,395,518
applauding_060.jpg,300,435,person,64,38,262,419
applauding_061.jpg,300,452,person,131,84,229,424
applauding_062.jpg,602,400,person,131,55,418,398
applauding_063.jpg,451,300,person,21,19,341,300
applauding_064.jpg,268,200,person,62,7,213,200
applauding_065.jpg,300,433,person,146,29,296,376
applauding_066.jpg,598,400,person,70,13,344,400
applauding_067.jpg,400,552,person,30,27,370,550
applauding_068.jpg,300,451,person,29,32,300,451
applauding_069.jpg,400,300,person,96,70,285,300
applauding_070.jpg,442,300,person,176,26,380,300
applauding_071.jpg,300,451,person,91,74,300,451
applauding_072.jpg,534,400,person,102,108,413,398
applauding_073.jpg,300,451,person,52,95,300,432
applauding_074.jpg,469,300,person,23,66,263,300
applauding_075.jpg,300,426,person,53,31,255,426
applauding_076.jpg,400,300,person,120,111,292,300
applauding_077.jpg,600,650,person,117,26,538,650
applauding_081.jpg,300,400,person,10,132,217,400
applauding_082.jpg,451,300,person,186,7,423,300
applauding_083.jpg,835,600,person,542,58,835,600
applauding_084.jpg,300,300,person,87,3,276,300
applauding_085.jpg,300,451,person,84,77,216,424
applauding_087.jpg,300,390,person,2,8,284,390
applauding_088.jpg,300,438,person,2,6,300,438
applauding_090.jpg,300,448,person,90,196,300,448
applauding_091.jpg,451,300,person,108,79,298,273
applauding_092.jpg,451,300,person,129,11,339,300
applauding_094.jpg,535,400,person,139,5,482,400
applauding_095.jpg,800,600,person,18,10,759,600
applauding_096.jpg,300,402,person,6,54,300,402
applauding_097.jpg,451,300,person,95,100,235,283
applauding_098.jpg,451,300,person,139,31,382,300
applauding_099.jpg,451,400,person,37,14,153,315
applauding_100.jpg,500,751,person,52,177,489,741
applauding_101.jpg,500,760,person,139,35,417,751
applauding_102.jpg,300,451,person,8,1,300,449
